DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,ARTIGO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Sala Preta é uma publicação da Escola de Comunicações e Artes da USP","",0,,,,,,,,,,,,,,,,,
"O artigo faz um estudo comparado de diferentes análises da obra Ïntrodução à Pedra" do compositor Rodolfo Caesar demonstrando a riqueza e complementaridade da análise textual e da análise gráfica da partitura de escuta.","",2,,,,,,,,,,,,,,,,,
"Esta é uma segunda publicação do artigo que já foi publicado em 2005 na Revista "Sala Preta" da USP","",3,,,,,,,,,,,,,,,,,
"Caderno de Pós-Graduação é periódico publicado pelo Instituto de Artes da UNICAMP","",4,,,,,,,,,,,,,,,,,
"O artigo faz parte da coluna Repertório de Hoje, do Jornal da Tarde publicado entre os anos de 1977 a 1979, de responsabilidade da autora.","",,0,,,,,,,,,,,,,,,,
"O artigo faz parte da coluna Repertório de Hoje, do Jornal da Tarde publicado entre os anos de 1977 a 1979, de responsabilidade da autora.","",,1,,,,,,,,,,,,,,,,
"O artigo faz parte da coluna Repertório de Hoje, do Jornal da Tarde publicado entre os anos de 1977 a 1979, de responsabilidade da autora.","",,2,,,,,,,,,,,,,,,,
"O artigo faz parte da coluna Repertório de Hoje, do Jornal da Tarde publicado entre os anos de 1977 a 1979, de responsabilidade da autora.","",,3,,,,,,,,,,,,,,,,
"O artigo faz parte da coluna Repertório de Hoje, do Jornal da Tarde publicado entre os anos de 1977 a 1979, de responsabilidade da autora.","",,4,,,,,,,,,,,,,,,,
"O artigo faz parte da coluna Repertório de Hoje, do Jornal da Tarde publicado entre os anos de 1977 a 1979, de responsabilidade da autora.","",,5,,,,,,,,,,,,,,,,
"O artigo faz parte da coluna Repertório de Hoje, do Jornal da Tarde publicado entre os anos de 1977 a 1979, de responsabilidade da autora.","",,6,,,,,,,,,,,,,,,,
